price,area,lot.area,lot.shape,utilities,land.slope,overall.qual,overall.cond,year.built,year.remod.add,mas.vnr.area,exter.qual,exter.cond,bsmt.qual,bsmt.cond,bsmt.exposure,bsmtfin.type.1,bsmtfin.sf.1,bsmtfin.type.2,bsmtfin.sf.2,bsmt.unf.sf,total.bsmt.sf,heating.qc,electrical,x1st.flr.sf,x2nd.flr.sf,low.qual.fin.sf,bsmt.full.bath,bsmt.half.bath,full.bath,half.bath,bedroom.abvgr,kitchen.abvgr,kitchen.qual,totrms.abvgrd,functional,fireplaces,fireplace.qu,garage.yr.blt,garage.finish,garage.cars,garage.area,garage.qual,garage.cond,paved.drive,wood.deck.sf,open.porch.sf,enclosed.porch,x3ssn.porch,screen.porch,pool.area,pool.qc,fence,misc.val,mo.sold,yr.sold
167000,1277,10628,3,3,2,7,5,1970,1970,0.0,2,3,3,4,4,GLQ,778.0,Unf,0.0,499.0,1277.0,2,4,1277,0,0,1.0,0.0,1,0,2,1,2,5,7,1,1,1970.0,1,2.0,526.0,3,3,2,0,0,0,0,176,0,0,2,0,4,2007
128900,1050,9600,3,3,2,5,6,1956,1956,0.0,2,2,3,3,1,Rec,504.0,Unf,0.0,546.0,1050.0,3,4,1050,0,0,0.0,0.0,1,0,2,1,2,5,7,0,0,1956.0,1,1.0,338.0,3,3,2,0,0,0,0,0,0,0,0,0,6,2009
155000,1135,7200,3,3,2,7,9,1936,2007,0.0,3,3,4,4,1,ALQ,350.0,BLQ,210.0,0.0,560.0,4,4,575,560,0,1.0,0.0,1,0,3,1,3,6,7,0,0,1971.0,2,2.0,576.0,3,3,2,256,0,0,0,0,0,0,3,0,4,2009
149000,883,7669,3,3,2,5,6,1992,1993,0.0,2,2,4,3,3,GLQ,718.0,LwQ,110.0,0.0,828.0,2,4,883,0,0,1.0,0.0,1,0,2,1,2,5,7,1,2,1998.0,1,2.0,698.0,3,3,2,100,32,0,0,0,0,0,4,0,6,2009
109500,784,6130,3,3,2,5,6,1924,1950,0.0,2,2,3,3,1,ALQ,784.0,Unf,0.0,0.0,784.0,3,4,784,0,0,1.0,0.0,1,0,2,1,3,5,7,0,0,,0,0.0,0.0,0,0,2,0,0,116,0,0,0,0,0,0,5,2008
180000,1339,8049,2,3,2,7,5,1990,1990,54.0,2,2,4,3,1,ALQ,1053.0,Unf,0.0,256.0,1309.0,2,4,1339,0,0,1.0,0.0,2,0,2,1,2,6,7,1,3,1990.0,3,2.0,484.0,4,4,2,0,58,0,0,90,0,0,0,0,7,2006
226500,1589,3621,3,3,2,8,5,2003,2003,72.0,3,2,4,3,4,GLQ,1084.0,Unf,0.0,322.0,1406.0,4,4,1589,0,0,1.0,0.0,2,0,2,1,3,7,7,1,3,2003.0,3,3.0,630.0,3,3,2,143,20,0,0,0,0,0,0,0,11,2007
328900,1709,5119,2,3,2,9,5,1999,2000,60.0,3,2,5,3,3,GLQ,1238.0,Unf,0.0,460.0,1698.0,4,4,1709,0,0,1.0,0.0,2,0,2,1,3,5,7,1,3,1999.0,3,2.0,506.0,3,3,2,97,65,0,0,0,0,0,0,0,1,2008
160000,1882,8250,3,3,2,6,7,1981,1981,0.0,2,2,0,0,0,,0.0,,0.0,0.0,0.0,2,4,964,918,0,0.0,0.0,2,0,4,2,2,8,7,2,3,1981.0,1,2.0,612.0,3,3,2,0,0,0,0,0,0,0,0,0,5,2009
120000,879,9675,3,3,2,5,6,1975,1975,0.0,2,2,3,3,1,BLQ,330.0,Rec,432.0,102.0,864.0,2,4,879,0,0,0.0,0.0,1,0,3,1,2,5,7,0,0,1975.0,1,2.0,440.0,3,3,2,0,80,0,0,0,0,0,0,0,9,2007
202500,1827,11737,2,3,2,6,7,1924,1996,0.0,2,2,3,3,1,Unf,0.0,Unf,0.0,848.0,848.0,2,4,1017,810,0,0.0,0.0,1,0,2,1,2,9,7,1,4,1943.0,1,1.0,240.0,2,3,2,27,36,42,0,0,0,0,4,0,5,2006
129000,912,8169,3,3,2,5,7,1966,1966,0.0,2,3,3,3,1,Rec,216.0,ALQ,435.0,261.0,912.0,4,4,912,0,0,1.0,0.0,1,0,3,1,3,6,7,0,0,1966.0,1,1.0,315.0,3,3,2,204,0,0,0,0,0,0,3,0,7,2007
293200,1602,10200,3,3,2,8,5,2007,2007,180.0,3,2,4,3,3,GLQ,1478.0,Unf,0.0,100.0,1578.0,4,4,1602,0,0,1.0,0.0,2,0,3,1,3,7,7,1,4,2007.0,2,3.0,810.0,3,3,2,0,48,0,0,195,0,0,0,0,1,2009
142900,2377,10410,3,3,2,4,5,1915,1950,0.0,2,2,3,3,1,Unf,0.0,Unf,0.0,1313.0,1313.0,2,4,1313,0,1064,0.0,0.0,2,0,3,1,3,8,5,1,3,1954.0,1,2.0,528.0,3,3,2,0,0,432,0,0,0,0,0,0,6,2009
166000,1385,8520,3,3,2,5,4,1952,1952,0.0,2,1,3,3,1,Rec,507.0,Unf,0.0,403.0,910.0,1,4,910,475,0,0.0,0.0,2,0,4,1,2,6,7,0,0,2000.0,1,2.0,720.0,3,3,2,0,0,0,0,0,0,0,3,0,6,2010
246990,1511,2938,3,3,2,7,5,2002,2002,40.0,3,2,4,3,3,GLQ,1038.0,Unf,0.0,330.0,1368.0,4,4,1511,0,0,1.0,0.0,2,0,2,1,3,5,7,1,3,2002.0,3,2.0,398.0,3,3,2,130,30,0,0,0,0,0,0,0,5,2006
267000,2452,16226,0,3,2,8,5,1998,1999,0.0,3,2,4,3,1,GLQ,281.0,Unf,0.0,747.0,1028.0,4,4,1210,1242,0,0.0,0.0,2,1,4,1,3,9,7,1,3,1998.0,3,2.0,683.0,3,3,2,208,50,0,0,0,0,0,0,0,5,2007
356383,2473,12292,2,3,2,9,5,2006,2006,184.0,3,2,5,4,4,GLQ,205.0,Unf,0.0,889.0,1094.0,4,4,1102,1371,0,0.0,0.0,2,1,4,1,3,11,7,1,4,2006.0,3,3.0,675.0,3,3,2,246,39,0,0,0,0,0,0,0,7,2006
89500,987,1680,3,3,2,6,3,1971,1971,604.0,2,2,3,3,1,ALQ,358.0,Unf,0.0,125.0,483.0,2,4,483,504,0,0.0,0.0,1,1,2,1,2,5,7,0,0,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,0,8,2008
127000,1691,5000,3,3,2,5,6,1924,1950,0.0,2,2,3,3,1,LwQ,218.0,Unf,0.0,808.0,1026.0,2,4,1026,665,0,0.0,0.0,2,0,3,1,3,6,7,1,4,1924.0,1,1.0,308.0,3,3,2,0,0,242,0,0,0,0,0,0,5,2010
115000,1216,5520,2,3,2,5,7,1920,1997,0.0,2,3,3,3,1,ALQ,68.0,Unf,0.0,497.0,565.0,2,4,565,651,0,1.0,0.0,1,0,3,1,2,6,7,1,4,1920.0,2,1.0,355.0,2,3,2,0,0,180,0,0,0,0,3,0,4,2008
